year,round_cutoff,gp_name_cutoff,gp_date_cutoff,hamilton_rank,hamilton_points,leader_points,points_behind,pct_of_leader,wins_to_date,podiums_to_date,poles_to_date,dnf_to_date,races_started,races_scored_pct,race_scored_pct_main,weekend_scored_pct,zero_point_weekends_to_date,constructor_id,teammate_points_to_date,teammate_gap
2007,17,Brazilian Grand Prix,2007-10-21,2,109.0,110.0,1.0,0.991,0,5,0,0,5,1.0,1.0,2.2,0,,38.0,71.0
2008,18,Brazilian Grand Prix,2008-11-02,1,98.0,98.0,0.0,1.0,1,3,1,0,5,0.8,0.8,4.8,1,,14.0,84.0
2009,17,Abu Dhabi Grand Prix,2009-11-01,5,49.0,95.0,46.0,0.516,0,0,0,0,4,0.75,0.75,6.5,1,,4.0,45.0
2010,18,Brazilian Grand Prix,2010-11-07,4,222.0,246.0,24.0,0.902,0,2,0,0,4,1.0,1.0,4.25,0,,60.0,162.0
2011,18,Abu Dhabi Grand Prix,2011-11-13,5,227.0,374.0,147.0,0.607,1,3,0,0,5,1.0,1.0,3.4,0,,61.0,166.0
2012,18,Abu Dhabi Grand Prix,2012-11-04,5,165.0,255.0,90.0,0.647,0,3,3,0,4,1.0,1.0,4.25,0,,43.0,122.0
2013,18,United States Grand Prix,2013-11-17,3,187.0,372.0,185.0,0.503,0,2,1,0,5,0.8,0.8,5.6,1,,22.0,165.0
2014,18,Brazilian Grand Prix,2014-11-09,1,334.0,334.0,0.0,1.0,4,4,4,1,5,0.8,0.8,4.6,1,,97.0,237.0
2015,18,Brazilian Grand Prix,2015-11-15,1,363.0,363.0,0.0,1.0,3,5,5,0,5,1.0,1.0,1.4,0,,91.0,272.0
2016,18,United States Grand Prix,2016-10-23,2,305.0,331.0,26.0,0.921,0,3,3,0,4,1.0,1.0,3.5,0,,100.0,205.0
2017,18,Mexican Grand Prix,2017-10-29,1,333.0,333.0,0.0,1.0,2,4,3,0,5,1.0,1.0,2.0,0,,63.0,270.0
2018,18,United States Grand Prix,2018-10-21,1,346.0,346.0,0.0,1.0,2,4,2,0,5,1.0,1.0,2.2,0,,58.0,288.0
2019,18,Mexican Grand Prix,2019-10-27,1,363.0,363.0,0.0,1.0,3,5,2,0,5,1.0,1.0,1.4,0,,105.0,258.0
2020,17,Abu Dhabi Grand Prix,2020-12-13,1,347.0,347.0,0.0,1.0,3,4,3,0,5,1.0,1.0,1.8,0,,73.0,274.0
2021,18,Mexico City Grand Prix,2021-11-07,2,293.5,312.5,19.0,0.939,3,4,2,0,5,1.0,1.0,2.4,0,,47.0,246.5
2022,18,Japanese Grand Prix,2022-10-09,6,180.0,366.0,186.0,0.492,0,1,0,0,5,0.8,0.8,7.2,1,,59.0,121.0
2023,18,United States Grand Prix,2023-10-22,3,201.0,466.0,265.0,0.431,0,1,0,0,5,1.0,1.0,4.8,0,,35.0,166.0
2024,18,Singapore Grand Prix,2024-09-22,6,174.0,331.0,157.0,0.526,0,0,0,1,5,0.8,0.8,10.4,1,,32.0,142.0
2025,18,Singapore Grand Prix,2025-10-05,6,125.0,336.0,211.0,0.372,0,0,0,0,4,1.0,1.0,7.25,0,,43.0,82.0
