year,cutoff_round,cutoff_event,rounds_compared,ham_quali_wins,teammate_quali_wins,ties,teammate_driverId
2007,17,Brazilian Grand Prix,17,9,8,0,alonso
2008,18,Brazilian Grand Prix,18,10,8,0,kovalainen
2009,17,Abu Dhabi Grand Prix,17,12,5,0,kovalainen
2010,19,Abu Dhabi Grand Prix,19,15,4,0,button
2011,19,Brazilian Grand Prix,19,13,6,0,button
2012,20,Brazilian Grand Prix,20,17,3,0,button
2013,19,Brazilian Grand Prix,19,10,9,0,rosberg
2014,19,Abu Dhabi Grand Prix,18,7,11,0,rosberg
2015,19,Abu Dhabi Grand Prix,19,12,7,0,rosberg
2016,20,Brazilian Grand Prix,19,11,8,0,rosberg
2017,20,Abu Dhabi Grand Prix,19,13,6,0,bottas
2018,20,Brazilian Grand Prix,16,9,7,0,bottas
2019,20,Brazilian Grand Prix,8,5,3,0,bottas
2020,17,Abu Dhabi Grand Prix,6,1,5,0,bottas
2021,20,Qatar Grand Prix,20,16,4,0,bottas
2022,20,Mexico City Grand Prix,20,11,9,0,russell
2023,20,São Paulo Grand Prix,20,10,10,0,russell
2024,20,Mexico City Grand Prix,20,6,14,0,russell
2025,20,Mexico City Grand Prix,18,6,12,0,leclerc
