year,rounds_compared,ham_quali_wins,teammate_quali_wins,ties,teammate_driverId,max_round_used
2007,17,9,8,0,alonso,ALL
2008,18,10,8,0,kovalainen,ALL
2009,17,12,5,0,kovalainen,ALL
2010,18,14,4,0,button,ALL
2011,18,13,5,0,button,ALL
2012,18,15,3,0,button,ALL
2013,18,9,9,0,rosberg,ALL
2014,17,7,10,0,rosberg,ALL
2015,18,12,6,0,rosberg,ALL
2016,17,9,8,0,rosberg,ALL
2017,5,3,2,0,bottas,ALL
2018,3,2,1,0,bottas,ALL
2019,4,3,1,0,bottas,ALL
2020,5,1,4,0,bottas,ALL
2021,22,18,4,0,bottas,ALL
2022,22,12,10,0,russell,ALL
2023,22,10,12,0,russell,ALL
2024,24,6,18,0,russell,ALL
2025,13,4,9,0,leclerc,ALL
