inputName,item,itemLabel,image,enwiki
Alain Prost,http://www.wikidata.org/entity/Q10494,Alain Prost,http://commons.wikimedia.org/wiki/Special:FilePath/Festival%20automobile%20international%202015%20-%20Photocall%20-%20065%20%28cropped%29.jpg,https://en.wikipedia.org/wiki/Alain_Prost
Ayrton Senna,http://www.wikidata.org/entity/Q10490,Ayrton Senna,http://commons.wikimedia.org/wiki/Special:FilePath/Ayrton%20Senna%20Pesawat%20RC%20Cropped.jpg,https://en.wikipedia.org/wiki/Ayrton_Senna
Dan Gurney,http://www.wikidata.org/entity/Q171466,Dan Gurney,http://commons.wikimedia.org/wiki/Special:FilePath/GurneyDan1965.jpg,https://en.wikipedia.org/wiki/Dan_Gurney
Denny Hulme,http://www.wikidata.org/entity/Q3166,Denny Hulme,http://commons.wikimedia.org/wiki/Special:FilePath/HulmeDenis196508.jpg,https://en.wikipedia.org/wiki/Denny_Hulme
Gerhard Berger,http://www.wikidata.org/entity/Q78502,Gerhard Berger,http://commons.wikimedia.org/wiki/Special:FilePath/Gerhard%20Berger%201991USA.jpg,https://en.wikipedia.org/wiki/Gerhard_Berger
Graham Hill,http://www.wikidata.org/entity/Q3128,Graham Hill,http://commons.wikimedia.org/wiki/Special:FilePath/HillGraham1969Aug.jpg,https://en.wikipedia.org/wiki/Graham_Hill
Jacky Ickx,http://www.wikidata.org/entity/Q173123,Jacky Ickx,http://commons.wikimedia.org/wiki/Special:FilePath/Mille%20Miglia%202018%20press%20conference%2C%20Le%20Grand-Saconnex%20%281X7A9592%29.jpg,https://en.wikipedia.org/wiki/Jacky_Ickx
Jim Clark,http://www.wikidata.org/entity/Q3137,Jim Clark,http://commons.wikimedia.org/wiki/Special:FilePath/Jim%20Clark%201965.jpg,https://en.wikipedia.org/wiki/Jim_Clark
John Surtees,http://www.wikidata.org/entity/Q3153,John Surtees,http://commons.wikimedia.org/wiki/Special:FilePath/John%20Surtees.JPG,https://en.wikipedia.org/wiki/John_Surtees
Nico Rosberg,http://www.wikidata.org/entity/Q75820,Nico Rosberg,http://commons.wikimedia.org/wiki/Special:FilePath/Nico%20Rosberg%202016.jpg,https://en.wikipedia.org/wiki/Nico_Rosberg
Nigel Mansell,http://www.wikidata.org/entity/Q10501,Nigel Mansell,http://commons.wikimedia.org/wiki/Special:FilePath/NigelMansell.jpg,https://en.wikipedia.org/wiki/Nigel_Mansell
Riccardo Patrese,http://www.wikidata.org/entity/Q172759,Riccardo Patrese,http://commons.wikimedia.org/wiki/Special:FilePath/Patrese%20at%201982%20Dutch%20Grand%20Prix.jpg,https://en.wikipedia.org/wiki/Riccardo_Patrese
Richie Ginther,http://www.wikidata.org/entity/Q171460,Richie Ginther,http://commons.wikimedia.org/wiki/Special:FilePath/Richie%20Ginther%20and%20Roger%20Penske%2C%201964%20%28cropped%29.jpg,https://en.wikipedia.org/wiki/Richie_Ginther
