year,cutoff_round,cutoff_event,rounds_compared,ham_quali_wins,teammate_quali_wins,ties,ham_quali_diff,teammate_driverId,team,teammate_name,teammate_img
2007,17,Brazilian Grand Prix,17,9,8,0,1,alonso,McLaren,Fernando Alonso,https://media.formula1.com/d_driver_fallback_image.png/content/dam/fom-website/drivers/F/FERALO01_Fernando_Alonso/feralo01.png.transform/1col/image.png
2008,18,Brazilian Grand Prix,18,14,4,0,10,kovalainen,McLaren,Heikki Kovalainen,https://s.hs-data.com/gfx/person/cropped/400x400/37599.png?
2009,17,Abu Dhabi Grand Prix,17,12,5,0,7,kovalainen,McLaren,Heikki Kovalainen,https://s.hs-data.com/gfx/person/cropped/400x400/37599.png?
2010,19,Abu Dhabi Grand Prix,19,14,5,0,9,button,McLaren,Jenson Button,"https://media.formula1.com/image/upload/c_fill,w_192,h_192,g_center/q_auto/v1740000000/fom-website/2025/Miscellaneous/GENERAL%20CROP%20-%202025-10-30T102533.857.webp"
2011,19,Brazilian Grand Prix,19,13,6,0,7,button,McLaren,Jenson Button,"https://media.formula1.com/image/upload/c_fill,w_192,h_192,g_center/q_auto/v1740000000/fom-website/2025/Miscellaneous/GENERAL%20CROP%20-%202025-10-30T102533.857.webp"
2012,20,Brazilian Grand Prix,20,17,3,0,14,button,McLaren,Jenson Button,"https://media.formula1.com/image/upload/c_fill,w_192,h_192,g_center/q_auto/v1740000000/fom-website/2025/Miscellaneous/GENERAL%20CROP%20-%202025-10-30T102533.857.webp"
2013,19,Brazilian Grand Prix,19,11,8,0,3,rosberg,Mercedes,Nico Rosberg,https://www.formulaonehistory.com/wp-content/uploads/2024/02/Nico-Rosberg-F1-2016.webp
2014,19,Abu Dhabi Grand Prix,19,7,12,0,-5,rosberg,Mercedes,Nico Rosberg,https://www.formulaonehistory.com/wp-content/uploads/2024/02/Nico-Rosberg-F1-2016.webp
2015,19,Abu Dhabi Grand Prix,19,12,7,0,5,rosberg,Mercedes,Nico Rosberg,https://www.formulaonehistory.com/wp-content/uploads/2024/02/Nico-Rosberg-F1-2016.webp
2016,20,Brazilian Grand Prix,20,11,9,0,2,rosberg,Mercedes,Nico Rosberg,https://www.formulaonehistory.com/wp-content/uploads/2024/02/Nico-Rosberg-F1-2016.webp
2017,20,Abu Dhabi Grand Prix,20,13,7,0,6,bottas,Mercedes,Valtteri Bottas,https://image-service.zaonce.net/eyJidWNrZXQiOiJmcm9udGllci1jbXMiLCJrZXkiOiJmMW1hbmFnZXIvMjAyNC9kcml2ZXJzL2hlYWRzaG90cy9mMS9ib3QucG5nIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo3MH19fQ==
2018,20,Brazilian Grand Prix,20,14,6,0,8,bottas,Mercedes,Valtteri Bottas,https://image-service.zaonce.net/eyJidWNrZXQiOiJmcm9udGllci1jbXMiLCJrZXkiOiJmMW1hbmFnZXIvMjAyNC9kcml2ZXJzL2hlYWRzaG90cy9mMS9ib3QucG5nIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo3MH19fQ==
2019,20,Brazilian Grand Prix,20,13,7,0,6,bottas,Mercedes,Valtteri Bottas,https://image-service.zaonce.net/eyJidWNrZXQiOiJmcm9udGllci1jbXMiLCJrZXkiOiJmMW1hbmFnZXIvMjAyNC9kcml2ZXJzL2hlYWRzaG90cy9mMS9ib3QucG5nIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo3MH19fQ==
2020,17,Abu Dhabi Grand Prix,17,11,6,0,5,bottas,Mercedes,Valtteri Bottas,https://image-service.zaonce.net/eyJidWNrZXQiOiJmcm9udGllci1jbXMiLCJrZXkiOiJmMW1hbmFnZXIvMjAyNC9kcml2ZXJzL2hlYWRzaG90cy9mMS9ib3QucG5nIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo3MH19fQ==
2021,20,Qatar Grand Prix,20,15,5,0,10,bottas,Mercedes,Valtteri Bottas,https://image-service.zaonce.net/eyJidWNrZXQiOiJmcm9udGllci1jbXMiLCJrZXkiOiJmMW1hbmFnZXIvMjAyNC9kcml2ZXJzL2hlYWRzaG90cy9mMS9ib3QucG5nIiwiZWRpdHMiOnsicmVzaXplIjp7IndpZHRoIjo3MH19fQ==
2022,20,Mexico City Grand Prix,20,12,8,0,4,russell,Mercedes,George Russell,https://media.formula1.com/d_driver_fallback_image.png/content/dam/fom-website/drivers/G/GEORUS01_George_Russell/georus01.png.transform/1col/image.png
2023,20,São Paulo Grand Prix,20,11,9,0,2,russell,Mercedes,George Russell,https://media.formula1.com/d_driver_fallback_image.png/content/dam/fom-website/drivers/G/GEORUS01_George_Russell/georus01.png.transform/1col/image.png
2024,20,Mexico City Grand Prix,20,5,15,0,-10,russell,Mercedes,George Russell,https://media.formula1.com/d_driver_fallback_image.png/content/dam/fom-website/drivers/G/GEORUS01_George_Russell/georus01.png.transform/1col/image.png
2025,20,Mexico City Grand Prix,20,5,15,0,-10,leclerc,Ferrari,Charles Leclerc,https://media.formula1.com/d_driver_fallback_image.png/content/dam/fom-website/drivers/C/CHALEC01_Charles_Leclerc/chalec01.png.transform/1col/image.png
