year,round_cutoff,gp_name_cutoff,gp_date_cutoff,team,hamilton_points,teammate_name,teammate_points_to_date,teammate_gap
2007,17,Brazilian Grand Prix,2007-10-21 16:00:00,McLaren,109.0,Fernando Alonso,109.0,0.0
2008,18,Brazilian Grand Prix,2008-11-02 17:00:00,McLaren,98.0,Heikki Kovalainen,53.0,45.0
2009,17,Abu Dhabi Grand Prix,2009-11-01 11:00:00,McLaren,49.0,Heikki Kovalainen,22.0,27.0
2010,19,Abu Dhabi Grand Prix,2010-11-14 13:00:00,McLaren,240.0,Jenson Button,214.0,26.0
2011,19,Brazilian Grand Prix,2011-11-27 16:00:00,McLaren,227.0,Jenson Button,270.0,-43.0
2012,20,Brazilian Grand Prix,2012-11-25 16:00:00,McLaren,190.0,Jenson Button,188.0,2.0
2013,19,Brazilian Grand Prix,2013-11-24 16:00:00,Mercedes,189.0,Nico Rosberg,171.0,18.0
2014,19,Abu Dhabi Grand Prix,2014-11-23 13:00:00,Mercedes,384.0,Nico Rosberg,317.0,67.0
2015,19,Abu Dhabi Grand Prix,2015-11-29 13:00:00,Mercedes,381.0,Nico Rosberg,322.0,59.0
2016,20,Brazilian Grand Prix,2016-11-13 16:00:00,Mercedes,355.0,Nico Rosberg,367.0,-12.0
2017,20,Abu Dhabi Grand Prix,2017-11-26 13:00:00,Mercedes,363.0,Valtteri Bottas,305.0,58.0
2018,20,Brazilian Grand Prix,2018-11-11 00:00:00,Mercedes,383.0,Valtteri Bottas,237.0,146.0
2019,20,Brazilian Grand Prix,2019-11-17 00:00:00,Mercedes,387.0,Valtteri Bottas,314.0,73.0
2020,17,Abu Dhabi Grand Prix,2020-12-13 00:00:00,Mercedes,347.0,Valtteri Bottas,223.0,124.0
2021,20,Qatar Grand Prix,2021-11-21 00:00:00,Mercedes,343.5,Valtteri Bottas,203.0,140.5
2022,20,Mexico City Grand Prix,2022-10-30 00:00:00,Mercedes,216.0,George Russell,231.0,-15.0
2023,20,São Paulo Grand Prix,2023-11-05 00:00:00,Mercedes,226.0,George Russell,156.0,70.0
2024,20,Mexico City Grand Prix,2024-10-27 00:00:00,Mercedes,189.0,George Russell,177.0,12.0
2025,20,Mexico City Grand Prix,2025-10-26 00:00:00,Ferrari,146.0,Charles Leclerc,210.0,-64.0
