Grand Prix,Date,Round,Team,Driver A,Position A,Q3 A,Driver B,Position B,Q3 B,Winner,Gap (s)
Australian Grand Prix,2025-03-16,1,Alpine F1 Team,P. Gasly,9,1:15.980,J. Doohan,14,,P. Gasly,0.883
Australian Grand Prix,2025-03-16,1,Aston Martin,F. Alonso,12,,L. Stroll,13,,F. Alonso,0.03
Australian Grand Prix,2025-03-16,1,Ferrari,C. Leclerc,7,1:15.755,L. Hamilton,8,1:15.973,C. Leclerc,0.218
Australian Grand Prix,2025-03-16,1,Haas F1 Team,E. Ocon,19,,O. Bearman,20,,N/A,
Australian Grand Prix,2025-03-16,1,McLaren,L. Norris,1,1:15.096,O. Piastri,2,1:15.180,L. Norris,0.084
Australian Grand Prix,2025-03-16,1,Mercedes,G. Russell,4,1:15.546,A. Antonelli,16,,G. Russell,0.979
Australian Grand Prix,2025-03-16,1,RB F1 Team,Y. Tsunoda,5,1:15.670,I. Hadjar,11,,Y. Tsunoda,0.505
Australian Grand Prix,2025-03-16,1,Red Bull,M. Verstappen,3,1:15.481,L. Lawson,18,,M. Verstappen,1.613
Australian Grand Prix,2025-03-16,1,Sauber,G. Bortoleto,15,,N. Hülkenberg,17,,N. Hülkenberg,0.941
Australian Grand Prix,2025-03-16,1,Williams,A. Albon,6,1:15.737,C. Sainz,10,1:16.062,A. Albon,0.325
Chinese Grand Prix,2025-03-23,2,Alpine F1 Team,P. Gasly,16,,J. Doohan,18,,P. Gasly,0.1
Chinese Grand Prix,2025-03-23,2,Aston Martin,F. Alonso,13,,L. Stroll,14,,F. Alonso,0.085
Chinese Grand Prix,2025-03-23,2,Ferrari,L. Hamilton,5,1:30.927,C. Leclerc,6,1:31.021,L. Hamilton,0.094
Chinese Grand Prix,2025-03-23,2,Haas F1 Team,E. Ocon,11,,O. Bearman,17,,E. Ocon,0.393
Chinese Grand Prix,2025-03-23,2,McLaren,O. Piastri,1,1:30.641,L. Norris,3,1:30.793,O. Piastri,0.152
Chinese Grand Prix,2025-03-23,2,Mercedes,G. Russell,2,1:30.723,A. Antonelli,8,1:31.103,G. Russell,0.38
Chinese Grand Prix,2025-03-23,2,RB F1 Team,I. Hadjar,7,1:31.079,Y. Tsunoda,9,1:31.638,I. Hadjar,0.559
Chinese Grand Prix,2025-03-23,2,Red Bull,M. Verstappen,4,1:30.817,L. Lawson,20,,M. Verstappen,1.357
Chinese Grand Prix,2025-03-23,2,Sauber,N. Hülkenberg,12,,G. Bortoleto,19,,N. Hülkenberg,0.509
Chinese Grand Prix,2025-03-23,2,Williams,A. Albon,10,1:31.706,C. Sainz,15,,A. Albon,0.134
Japanese Grand Prix,2025-04-06,3,Alpine F1 Team,P. Gasly,11,,J. Doohan,19,,P. Gasly,1.055
Japanese Grand Prix,2025-04-06,3,Aston Martin,F. Alonso,13,,L. Stroll,20,,F. Alonso,1.374
Japanese Grand Prix,2025-04-06,3,Ferrari,C. Leclerc,4,1:27.299,L. Hamilton,8,1:27.610,C. Leclerc,0.311
Japanese Grand Prix,2025-04-06,3,Haas F1 Team,O. Bearman,10,1:27.867,E. Ocon,18,,O. Bearman,0.829
Japanese Grand Prix,2025-04-06,3,McLaren,L. Norris,2,1:26.995,O. Piastri,3,1:27.027,L. Norris,0.032
Japanese Grand Prix,2025-04-06,3,Mercedes,G. Russell,5,1:27.318,A. Antonelli,6,1:27.555,G. Russell,0.237
Japanese Grand Prix,2025-04-06,3,RB F1 Team,I. Hadjar,7,1:27.569,L. Lawson,14,,I. Hadjar,0.337
Japanese Grand Prix,2025-04-06,3,Red Bull,M. Verstappen,1,1:26.983,Y. Tsunoda,15,,M. Verstappen,1.017
Japanese Grand Prix,2025-04-06,3,Sauber,N. Hülkenberg,16,,G. Bortoleto,17,,N. Hülkenberg,0.052
Japanese Grand Prix,2025-04-06,3,Williams,A. Albon,9,1:27.615,C. Sainz,12,,A. Albon,0.221
